slang,formal
knp,kenapa
knpa,kenapa
kntl,umpatan sangat
kodya,kota madya
kok,mengapa
komdis,komisi disiplin
komsov,komunis sovyet
koneksi putus,jaringan internet terputus
kongkow,kumpul bareng teman-teman
konsul,konsultasi
kontak,hubungi
kontol,kesal buruk
kopdar,kopi darat
koplak,konyol buruk
korup,korupsi
kpd,kepada
kpn,kapan
kpok,sangat jera
krena,karena
krenz,keren
krm,kirim
krn,karena
krna,karena
ksm,kredit serbaguna mandiri
kt,kita
ktmu,ketemu
ktp,kartu tanda
ktr,kantor
kudet,kurang informasi
kuota,kuota pendaftaran
kuota habis,kuota habis
kuota penuh,kuota habis
kuper,kurang pergaulan
kw,imitasi
ky,seperti
kyk,seperti
la,lah
lag,lemot lambat
lam,salam
lambat,lemot
lamp,lampiran
lancar,sangat lancar
lancar jaya,sangat lancar cepat tanpa kendala
lancarj,sangat lancar
langsg,langsung
langsungg,langsung
lanjay,sangat lancar
lanjayy,sangat lancar
lanud,landasan udara
latgab,latihan gabungan
layanan fktp,layanan fasilitas
layar blank,layar kosong putih tidak muncul tampilan
layar hitam,layar kosong hitam tidak merespon
layar putih,layar kosong putih tidak muncul tampilan
lebay,berlebihan
leh,boleh
lelet,lambat
lelett,sangat lambat
lemot,lambat
lemott,sangat lambat
lemottt,sangat lambat
lgi,lagi
lgsg,langsung
liad,lihat
liat,lihat
lieur,sangat pusing
lihat kartu,tampilan kartu
like,suka
lingkaran maut,aplikasi macet memuat berputar terus
litbang,penelitian dan pengembangan
livin,aplikasi livin mandiri
livin baru,aplikasi livin mandiri versi baru
livin biru,aplikasi livin mandiri lama
livin by mandiri,aplikasi livin mandiri
livin kuning,aplikasi livin mandiri
livin mandiri,aplikasi livin mandiri
livinby,aplikasi livin mandiri
livinpoin,poin loyalitas mandiri
llet,lambat
lmyn,lumayan
lngsg,langsung
lo,kamu
loading,memuat lama
loading lama,proses memuat data sangat lambat
loading mulu,proses memuat data sangat lambat berputar terus
loadingg,memuat lama
loding,memuat lama
lodingg,memuat lama
loe,anda
log in,masuk akun
log out,keluar akun
login,masuk akun
logout,keluar akun
lola,lambat
louph,cinta
low,kalau
lp,lupa
lu,anda
luar biasa,sangat luar
luber,"langsung, umum, bebas, dan rahasia"
luchuw,lucu
lum,belum
lupa pin,kendala lupa pin sandi transaksi
luthu,lucu
luu,anda
lwn,lawan
m banking,layanan mobile banking
m-banking,layanan mobile banking
m-mandiri,m banking mandiri
maacih,terima kasih
mabal,bolos
macem,macam
macet,tidak berjalan
macett,tidak berjalan
macih,masih
maem,makan
magabut,makan gaji buta
maho,homo
maintance,pemeliharaan sistem
maintenance,pemeliharaan sistem
makai,pakai
makan ati,sangat membuat
makan hati,sangat membuat
makasih,terima kasih
make,pakai
makin update makin ancur,pembaruan aplikasi membuat performa semakin buruk
makin update makin jelek,pembaruan aplikasi membuat performa semakin buruk
makin update makin parah,pembaruan aplikasi membuat performa semakin buruk
maks,maksimal
maksain,memaksa
malem,malam
maling,pencuri merugikan
mam,makan
mana2,mana-mana
mandiri,peserta mandiri
mandiri call,layanan call center mandiri 14000
mandiri online,layanan mandiri online
maneh,kamu
mang,memang
maniez,manis
mantabb,sangat bagus
mantap,bagus
mantap betol,sangat bagus
mantap betul,mantap betul sangat bagus memuaskan
mantap jiwa,sangat luar
mantapjiwa,sangat luar
mantapp,sangat bagus
mantappp,sangat bagus
mantapppp,sangat bagus
mantep,sangat bagus
mantul,mantap betul sangat bagus memuaskan
mantul bgt,mantap betul sangat bagus memuaskan
mantull,sangat bagus
mao,mau
masa berlaku rujukan,masa aktif
masi,masih
masokk,masuk
masukin,masukkan
masyaallah,sangat kagum
mbanking,layanan mobile banking
mbankingnya,layanan mobile banking
mbulet,sangat berbelit-belit
mdh,sangat mudah
melahirkan,layanan persalinan
melu,ikut
membantu,bantu
memek,kesal buruk
mentok,terhenti
mepet,dekat sekali
mgu,minggu
mhn,mohon
migas,minyak dan gas bumi
mikol,minuman beralkohol
mimin,admin
min,admin
miras,minuman keras
mks,terima kasih
mksih,terima kasih
mlah,malah
mmandiri,m banking mandiri
mmk,umpatan sangat
mngkn,mungkin
mo,mau
mobile mandiri,aplikasi mobile
mokad,mati
moso,masa
mpe,sampai
mrk,mereka
mrka,mereka
msk,masuk
mslh,masalah
